frame,second,id,label,bbox,distance_m,speed_kmh
144,5.76,22,car,"261,430,335,451",18.58,139.19
144,5.76,22,car,"252,431,335,451",16.57,131.32
145,5.8,1,car,"1082,393,1279,511",6.98,95.15
145,5.8,3,car,"813,406,936,489",11.18,103.75
145,5.8,23,car,"300,421,346,446",29.89,140.49
146,5.84,1,car,"1078,393,1279,514",6.84,94.77
146,5.84,3,car,"812,408,936,490",11.09,103.34
146,5.84,23,car,"288,423,339,448",26.96,129.27
147,5.88,1,car,"1081,392,1279,515",6.94,93.68
147,5.88,3,car,"819,410,935,492",11.85,102.41
147,5.88,23,car,"261,425,320,449",23.31,124.77
148,5.92,1,car,"1083,391,1279,514",7.02,94.86
148,5.92,3,car,"814,405,934,490",11.46,104.33
148,5.92,23,car,"241,425,311,450",19.64,128.62
149,5.96,1,car,"1084,396,1279,517",7.05,95.84
149,5.96,3,car,"811,407,931,492",11.46,105.71
149,5.96,23,car,"240,426,301,451",22.54,131.83
150,6.0,1,car,"1078,392,1279,512",6.84,95.79
150,6.0,3,car,"812,404,930,490",11.65,106.19
150,6.0,23,car,"218,426,283,451",21.15,128.97
151,6.04,1,car,"1083,391,1279,512",7.02,95.06
151,6.04,3,car,"809,403,929,486",11.46,104.75
151,6.04,23,car,"198,421,272,452",18.58,124.77
151,6.04,24,car,"87,441,137,457",27.5,109.73
151,6.04,25,car,"305,427,350,441",30.56,113.04
152,6.08,1,car,"1084,394,1279,512",7.05,94.39
152,6.08,3,car,"812,406,930,488",11.65,103.29
152,6.08,23,car,"178,423,253,453",18.33,121.56
152,6.08,24,car,"47,442,124,464",17.86,102.9
152,6.08,25,car,"273,431,338,448",21.15,106.62
153,6.12,1,car,"1085,393,1279,511",7.09,93.41
153,6.12,3,car,"815,406,932,487",11.75,101.99
153,6.12,23,car,"161,422,232,452",19.37,118.45
153,6.12,25,car,"273,431,320,444",29.26,121.77
154,6.16,1,car,"1085,394,1279,514",7.09,91.48
154,6.16,3,car,"811,404,930,487",11.55,98.93
154,6.16,23,car,"147,421,215,452",20.22,111.35
155,6.2,1,car,"1086,387,1279,506",7.12,90.24
155,6.2,3,car,"814,396,929,482",11.96,96.63
155,6.2,23,car,"123,422,200,452",17.86,107.27
155,6.2,23,car,"120,422,200,452",17.19,109.02
156,6.24,1,car,"1088,396,1279,514",7.2,90.09
156,6.24,3,car,"817,406,936,487",11.55,96.4
156,6.24,23,car,"97,421,179,455",16.77,106.92
156,6.24,23,car,"95,421,179,455",16.37,99.85
157,6.28,1,car,"1085,395,1279,512",7.09,89.31
157,6.28,3,car,"811,403,934,486",11.18,95.04
157,6.28,23,car,"59,426,148,457",15.45,97.0
157,6.28,26,car,"130,431,217,454",15.8,89.04
158,6.32,1,car,"1089,395,1279,514",7.24,87.29
158,6.32,3,car,"816,400,937,485",11.36,91.45
158,6.32,23,car,"42,410,126,453",16.37,95.65
159,6.36,1,car,"1090,393,1279,514",7.28,85.92
159,6.36,3,car,"813,400,934,485",11.36,89.22
159,6.36,23,car,"-9,411,98,454",12.85,93.59
159,6.36,27,car,"428,415,457,428",47.41,103.49
160,6.4,1,car,"1089,393,1279,514",7.24,84.91
160,6.4,3,car,"808,400,932,485",11.09,87.37
160,6.4,23,car,"-18,413,88,455",12.97,93.46
161,6.44,1,car,"1088,397,1279,517",7.2,84.01
161,6.44,3,car,"813,401,932,486",11.55,85.84
161,6.44,23,car,"-4,423,66,453",19.64,93.51
162,6.48,1,car,"1087,397,1279,517",7.16,84.6
162,6.48,3,car,"810,402,931,485",11.36,86.85
163,6.52,1,car,"1092,392,1279,513",7.35,83.99
163,6.52,3,car,"810,399,936,485",10.91,86.2
164,6.56,1,car,"1096,395,1279,519",7.51,83.88
164,6.56,3,car,"813,406,933,487",11.46,86.15
164,6.56,28,car,"390,421,417,435",50.93,106.5
165,6.6,1,car,"1093,394,1279,520",7.39,83.8
165,6.6,3,car,"813,408,936,489",11.18,86.04
166,6.64,1,car,"1094,393,1279,520",7.43,84.35
166,6.64,3,car,"814,408,933,489",11.55,87.01
167,6.68,1,car,"1096,399,1279,520",7.51,83.27
167,6.68,3,car,"815,408,935,489",11.46,85.17
167,6.68,29,car,"362,425,394,438",42.97,89.18
168,6.72,1,car,"1095,400,1279,521",7.47,83.9
168,6.72,3,car,"816,409,934,491",11.65,85.85
169,6.76,1,car,"1094,399,1279,524",7.43,84.04
169,6.76,3,car,"809,409,933,492",11.09,86.16
169,6.76,30,car,"335,427,365,441",45.83,102.34
170,6.8,1,car,"1093,400,1279,525",7.39,84.65
170,6.8,3,car,"808,410,932,493",11.09,87.08
171,6.84,1,car,"1099,402,1279,528",7.64,84.3
171,6.84,3,car,"808,417,931,494",11.18,86.87
171,6.84,31,car,"313,430,344,444",44.35,104.42
