frame,second,id,label,x1,y1,x2,y2,vx1,vy1,vx2,vy2,distance_m,speed_kmh
19,0.76,0,car,0,280,89,357,0.0,0.07951455563306808,1.2647902965545654,-0.015872929245233536,15.45,2.87
20,0.8,0,car,0,283,92,360,0.0,0.6268108487129211,1.2811754941940308,0.6663654446601868,14.95,3.43
21,0.84,0,car,0,285,95,362,0.0,0.7861422300338745,1.3513410091400146,0.7156704664230347,14.47,4.29
22,0.88,0,car,0,286,97,362,0.0,0.6124927997589111,1.273357629776001,0.5231639742851257,14.18,4.24
23,0.92,0,car,0,286,100,362,0.0,0.5170127749443054,1.3118952512741089,0.1533823162317276,13.75,3.45
24,0.96,0,car,0,285,103,359,0.0,0.18392811715602875,1.3810086250305176,-0.31839311122894287,13.35,2.62
25,1.0,0,car,0,286,105,358,0.0,0.15701574087142944,1.293933391571045,-0.39449092745780945,13.1,2.14
26,1.04,0,car,0,285,107,357,0.0,-0.04566461592912674,1.1762806177139282,-0.45284271240234375,12.85,1.65
27,1.08,0,car,0,286,108,358,0.0,0.18862983584403992,0.9353163838386536,-0.04703861474990845,12.73,1.58
28,1.12,0,car,0,286,110,359,0.0,0.07058165967464447,1.0145560503005981,0.11268680542707443,12.5,1.85
29,1.16,0,car,0,286,112,359,0.0,0.007402397226542234,1.0387710332870483,-0.009870653972029686,12.28,2.09
30,1.2,0,car,0,285,115,358,0.0,-0.16437168419361115,1.182967185974121,-0.1979202926158905,11.96,2.08
31,1.24,0,car,0,284,119,356,0.0,-0.17785023152828217,1.4748233556747437,-0.5011538863182068,11.55,2.04
36,1.44,3,car,9,286,126,357,0.0,0.0,0.0,0.0,11.75,3.28
37,1.48,3,car,9,286,126,357,0.1376146674156189,0.05504586920142174,0.05504586920142174,0.0,11.75,2.62
38,1.52,3,car,14,286,129,355,1.3312602043151855,0.02318600006401539,0.9492178559303284,-0.34726160764694214,11.96,2.18
39,1.56,3,car,21,285,134,353,2.2495906352996826,-0.16087548434734344,1.5768499374389648,-0.689132571220398,12.17,1.96
40,1.6,3,car,23,285,137,352,1.6869347095489502,-0.045284952968358994,1.5289064645767212,-0.6328412294387817,12.06,1.68
41,1.64,3,car,26,285,139,350,1.7158207893371582,-0.13421855866909027,1.3587809801101685,-0.7181912660598755,12.17,1.48
43,1.72,4,car,28,285,143,351,0.0,0.0,0.0,0.0,11.96,2.89
44,1.76,4,car,28,285,143,350,0.19266054034233093,0.02752293460071087,0.05504586920142174,-0.02752293460071087,11.96,1.51
45,1.8,4,car,33,284,146,349,1.2386929988861084,-0.10416264086961746,0.9492205381393433,-0.24309898912906647,12.17,1.86
46,1.84,4,car,39,284,149,350,2.058932065963745,-0.18519747257232666,1.1270244121551514,-0.05410467088222504,12.5,2.31
47,1.88,4,car,44,284,154,349,1.785067081451416,0.016915345564484596,1.454276442527771,-0.2512630522251129,12.5,2.19
47,1.88,5,car,313,295,345,320,0.0,0.0,0.0,0.0,42.97,6.49
48,1.92,4,car,45,284,154,348,1.3536474704742432,0.062895767390728,0.8438451886177063,-0.22986608743667603,12.61,2.29
49,1.96,4,car,49,285,154,349,1.5312490463256836,0.20557405054569244,0.5270980596542358,-0.011351394467055798,13.1,2.76
50,2.0,4,car,49,286,152,349,0.999736487865448,0.19768698513507843,-0.038239412009716034,0.07242007553577423,13.35,2.74
51,2.04,4,car,50,286,153,350,0.8075157999992371,0.13658493757247925,0.21044424176216125,0.08138914406299591,13.35,2.16
52,2.08,4,car,54,287,155,350,1.3835535049438477,0.22156980633735657,0.531943142414093,0.06066364422440529,13.61,2.1
53,2.12,4,car,59,288,158,350,1.7713367938995361,0.3338760733604431,0.7848149538040161,0.03540179878473282,13.89,1.84
54,2.16,4,car,62,289,158,349,1.6840593814849854,0.42302432656288147,0.6451131701469421,-0.13094940781593323,14.32,1.92
55,2.2,4,car,63,289,160,348,0.8752337098121643,0.2616060674190521,0.6025226712226868,-0.13314783573150635,14.18,1.85
